ring,tag1,tag2,model,var,avg1,avg2,diff,t,d,g,delta,p,fname1,fname2,combi
R1,P-DSH-F-Rlow-JV21,P-DSH-F-Rlow,pmax,gs,0.09245123478160074,0.092812985707114,-0.0004,-0.8999,-0.0053,-0.0053,-0.0054,0.3682,EucFACER1_P-DSH-F-Rlow-JV21.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV21_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV21,P-DSH-F-Rlow,pmax,ksc,1.84510031905664,1.845861149613785,-0.0008,-3.1431,-0.0187,-0.0187,-0.0174,0.0017,EucFACER1_P-DSH-F-Rlow-JV21.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV21_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV21,P-DSH-F-Rlow,pmax,sw,0.19675133436366668,0.19675869162899234,-0.0,-0.0248,-0.0001,-0.0001,-0.0001,0.9802,EucFACER1_P-DSH-F-Rlow-JV21.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV21_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV28,P-DSH-F-Rlow,pmax,An,5.865299914131754,5.9553098800808,-0.09,-3.9736,-0.0236,-0.0236,-0.0233,0.0001,EucFACER1_P-DSH-F-Rlow-JV28.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV28_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV28,P-DSH-F-Rlow,pmax,Ci,27.192619392777292,27.09863647580634,0.094,1.0102,0.006,0.006,0.006,0.3124,EucFACER1_P-DSH-F-Rlow-JV28.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV28_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV28,P-DSH-F-Rlow,pmax,E,1.1957463979179324,1.1983968781776395,-0.0027,-0.5479,-0.0033,-0.0033,-0.0032,0.5837,EucFACER1_P-DSH-F-Rlow-JV28.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV28_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV28,P-DSH-F-Rlow,pmax,Es,0.09879784393592217,0.0982945262790336,0.0005,0.3978,0.0024,0.0024,0.0024,0.6907,EucFACER1_P-DSH-F-Rlow-JV28.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV28_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV28,P-DSH-F-Rlow,pmax,Jmax25,133.3258611055428,135.6463077795358,-2.3204,-44.0046,-0.2613,-0.2613,-0.1848,0.0,EucFACER1_P-DSH-F-Rlow-JV28.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV28_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV28,P-DSH-F-Rlow,pmax,Pleaf,-1.2257255081107978,-1.2287498019614664,0.003,0.7331,0.0044,0.0044,0.0043,0.4635,EucFACER1_P-DSH-F-Rlow-JV28.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV28_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV28,P-DSH-F-Rlow,pmax,Ps,-0.17506205285431106,-0.17053285533667972,-0.0045,-1.7433,-0.0104,-0.0104,-0.0101,0.0813,EucFACER1_P-DSH-F-Rlow-JV28.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV28_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV28,P-DSH-F-Rlow,pmax,Tleaf,18.359466625186265,18.36031490551974,-0.0008,-0.0154,-0.0001,-0.0001,-0.0001,0.9877,EucFACER1_P-DSH-F-Rlow-JV28.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV28_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV28,P-DSH-F-Rlow,pmax,Vmax25,85.22592943611595,83.9939486199092,1.232,44.0046,0.2613,0.2613,0.1848,0.0,EucFACER1_P-DSH-F-Rlow-JV28.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV28_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV28,P-DSH-F-Rlow,pmax,WUE,6.501980131795795,6.5785857439296995,-0.0766,-1.742,-0.0111,-0.0111,-0.011,0.0815,EucFACER1_P-DSH-F-Rlow-JV28.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV28_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV28,P-DSH-F-Rlow,pmax,gs,0.09239396096081066,0.092812985707114,-0.0004,-1.043,-0.0062,-0.0062,-0.0062,0.2969,EucFACER1_P-DSH-F-Rlow-JV28.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV28_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV28,P-DSH-F-Rlow,pmax,ksc,1.8448935248166136,1.845861149613785,-0.001,-3.9324,-0.0234,-0.0234,-0.0215,0.0001,EucFACER1_P-DSH-F-Rlow-JV28.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV28_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV28,P-DSH-F-Rlow,pmax,sw,0.19673041436598568,0.19675869162899234,-0.0,-0.0952,-0.0006,-0.0006,-0.0006,0.9241,EucFACER1_P-DSH-F-Rlow-JV28.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV28_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV35,P-DSH-F-Rlow,pmax,An,5.859285362168246,5.9553098800808,-0.096,-4.2513,-0.0252,-0.0252,-0.025,0.0,EucFACER1_P-DSH-F-Rlow-JV35.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV35_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV35,P-DSH-F-Rlow,pmax,Ci,27.198901259724288,27.09863647580634,0.1003,1.0772,0.0064,0.0064,0.0064,0.2814,EucFACER1_P-DSH-F-Rlow-JV35.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV35_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV35,P-DSH-F-Rlow,pmax,E,1.1950256277566231,1.1983968781776395,-0.0034,-0.6978,-0.0041,-0.0041,-0.0041,0.4853,EucFACER1_P-DSH-F-Rlow-JV35.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV35_P-DSH-F-Rlow
R1,P-DSH-F-Rlow-JV35,P-DSH-F-Rlow,pmax,Es,0.09888445126871664,0.0982945262790336,0.0006,0.4662,0.0028,0.0028,0.0028,0.6411,EucFACER1_P-DSH-F-Rlow-JV35.csv,EucFACER1_P-DSH-F-Rlow.csv,P-DSH-F-Rlow-JV35_P-DSH-F-Rlow
